from;to;distance
Находка;42.85780005605215,132.63796866983245;47432.097
Находка;42.82558006927711,131.36343049698797;306648.287
Находка;43.19475603333333,132.12088166499998;166457.168
Находка;42.688827495061716,133.08812686790128;27915.823
Находка;42.87296550909091,133.8029191363636;215541.732
Находка;42.9085898925926,132.76568851851852;28994.458
Находка;42.61793450808079,130.78490267373738;390586.326
Находка;42.66970745614037,131.1173233614035;328828.408
Находка;42.7565817568182,131.2582025068182;313885.246
Находка;42.94948294,131.82898543000002;219310.304
Находка;42.77377115698925,131.26249995376347;311232.128
Находка;42.58242989734511,130.77586495840706;386353.78
Находка;42.64487614117647,130.97947705999997;352207.254
Находка;42.8418699859649,131.38430612105265;304072.045
Находка;43.073964861538464,131.84244766153844;198712.719
Находка;42.8444853326923,132.5954254971154;53014.593
Находка;42.648891773770494,131.0245361770492;336303.922
Находка;42.649176815789474,130.79231548947368;354862.851
Находка;42.79324130175439,131.30578088947368;307179.222
Находка;42.909528109374996,132.73866168749993;31443.461
Находка;42.76052301904762,132.82117242857134;27821.216
Находка;42.77473639999999,133.34393449333336;37704.962
Находка;42.87023801219511,133.90840999999998;236650.918
Находка;42.91393987572815,132.49436769417477;52595.457
Находка;42.86141447058824,132.6566022084033;45609.226
Находка;42.791616768965525,133.02352553103452;9857.617
Находка;42.88886339326923,133.82041722019224;215765.062
Находка;42.82021048181818,132.7925140659091;24019.748
Находка;42.855178322058826,132.6854441830882;46059.125
Находка;42.9506436372549,131.74024973333337;218781.76
Находка;42.70402008235294,131.23779016176474;null
Находка;42.746067914705876,131.2506215294118;315518.165
Находка;42.942143869387756,131.46421048367347;294676.055
Находка;42.9166471325,132.475985425;53906.911
Находка;42.64286049107142,131.06331871071424;333288.703
Находка;43.20753167794117,132.16358071029413;162608.39
Находка;42.7449392357143,132.86912061904758;30665.767
Находка;42.83070363132529,132.43038524698792;92891.358
Находка;42.61200170294118,130.9373820147059;352965.937
Находка;42.89357776000001,132.78257173666665;28703.898
Находка;42.71072995249999,133.1847811575;28731.206
Находка;42.61659337272727,131.1991424818182;342893.876
Находка;43.0666548405797,132.29653485072464;84016.766
Находка;42.96557476964286,131.8863649803572;210665.348
Находка;42.83629910595238,132.39794171785712;94856.837
Находка;42.769439222058836,133.0467068352941;12984.374
Находка;42.80185192,133.00391430545454;11322.337
Находка;42.95818163913044,131.8462030652174;218457.76
Находка;42.644574795833336,131.12812382916667;332209.38
Находка;42.810819189473676,132.46382737894731;null
Находка;42.8129591088889,132.99314807555558;468.936
Находка;42.596711760714285,130.90390206071427;null
Находка;42.60455177866666,131.17983613066662;339997.646
Находка;42.83740554210527,132.77446489210524;25822.237
Находка;43.228441316666675,132.32175070833333;120624.869
Находка;42.93402220357142,131.83621696785715;222474.38
Находка;42.910523870588236,132.50645268235291;53573.426
Находка;42.92118201406249,131.736798296875;221894.678
Находка;43.11483942600001,132.014864952;182858.548
Находка;42.83774339666666,132.42099782999998;92891.358
Находка;42.89318040701755,132.3060094245614;80334.043
Находка;42.80035654722222,132.45929211388886;null
Находка;42.65115556,131.206230608;340826.978
Находка;42.63718584374999,131.07561126041665;332771.614
Находка;42.81543918095238,132.79918349682535;23969.084
Находка;42.843555099999996,132.4360012619048;91972.132
Находка;43.20162889189189,132.14213005675677;166372.495
Находка;43.16660715757576,132.08220624242423;171570.678
Находка;42.81813861153846,132.99308123461537;1729.094
Находка;42.86656191500002,132.69135949285715;47024.69
Находка;43.288589529032244,132.29370165806452;149188.771
Находка;42.72582748399999,131.243843192;316720.373
Находка;42.71033387121214,133.1762836560606;29278.558
Находка;43.17945024624999,132.10055653999993;169431.42
Находка;42.63069964821428,131.13784847321426;334339.859
Находка;42.63716983170731,131.04547179268292;336270.074
Находка;42.83399904285714,132.41026015535712;93779.184
Находка;43.269738775675684,132.2603187837838;152678.187
Находка;42.647659757894736,131.12724249473683;331695.151
Находка;42.945709146153845,131.47149596923074;293947.238
Находка;42.93748632941176,131.84113609705884;221964.623
Находка;42.74823477857144,132.84981756785714;28932.295
Находка;42.81766711363637,132.44129206590907;93481.443
Находка;42.76345889166666,133.06399575833336;14564.43
Находка;43.13404050000001,131.88527921176473;191102.034
Находка;43.11793786296297,131.87648223888885;192523.469
Находка;42.806334185507254,132.9940610927536;1608.142
Находка;42.762933113725495,132.87783964705883;29111.992
Находка;42.856152216494834,132.449314357732;91041.351
Находка;42.991011085714284,131.92955676666665;207570.029
Находка;42.60937601538462,130.7756879923077;389366.009
Находка;42.61366965789473,131.13687448157893;336876.742
Находка;43.08136582203389,131.84233186779662;198214.101
Находка;42.78491300000001,133.02925812903229;10523.749
Находка;43.04184015471699,131.89200695849058;199304.789
Находка;42.78101298113207,132.81317322641505;26475.248
Находка;42.73069430869564,133.20346575000005;28973.827
Находка;42.66013340227274,130.79213693863633;353383.734
